date	CoreTem	SkinTem
7.4333333333E+000	3.7124483773E+001	3.3078362339E+001
7.4500000000E+000	3.7124738426E+001	3.3082163208E+001
7.4666666667E+000	3.7124992789E+001	3.3085952667E+001
7.4833333333E+000	3.7125246862E+001	3.3089730745E+001
7.5000000000E+000	3.7125500644E+001	3.3093497470E+001
7.5166666667E+000	3.7125754135E+001	3.3097252869E+001
7.5333333333E+000	3.7126007337E+001	3.3100996971E+001
7.5500000000E+000	3.7126260248E+001	3.3104729805E+001
7.5666666667E+000	3.7126512868E+001	3.3108451400E+001
7.5833333333E+000	3.7126765199E+001	3.3112161785E+001
7.6000000000E+000	3.7127017239E+001	3.3115860988E+001
7.6166666667E+000	3.7127268990E+001	3.3119549040E+001
7.6333333333E+000	3.7127520450E+001	3.3123225969E+001
7.6500000000E+000	3.7127771621E+001	3.3126891807E+001
7.6666666667E+000	3.7128022501E+001	3.3130546582E+001
7.6833333333E+000	3.7128273092E+001	3.3134190325E+001
7.7000000000E+000	3.7128523392E+001	3.3137823066E+001
7.7166666667E+000	3.7128773403E+001	3.3141444835E+001
